47,용산구,용산공업고등학교앞 횡단보도,용산공고 앞 횡단보도 옆,"37.524678, 126.967679"
48,용산구,이촌역 2번출구,이촌역 2번출구 택시정류장 옆,"37.521981, 126.976056"
49,용산구,온누리교회앞 버스정류장(03-225),온누리교회 옆 버스정류장,"37.517952, 126.985086"
50,용산구,철우아파트 옆 버스정류장(03-261),철우아파트 옆 버스정류장(용산세무서),"37.523670, 126.969352"
51,용산구,국립중앙박물관 정문앞 횡단보도,국립중앙박물관 서문 앞 횡단보도,"37.521740, 126.977082"
52,용산구,국립중앙박물관 버스정류장(가족공원쪽)(03-266),버스정류장 옆(국립중앙박물관용산가족공원),"37.520872, 126.979860"
53,용산구,후암로11 채가네볼태기앞,황소곱창 앞(레디카서비스 건너편),"37.547017, 126.978080"
54,용산구,후암로30길1 엘지유플러스 건너편 횡단보도앞,초록냉장고마트 앞,"37.550386, 126.977139"
55,용산구,한남시범아파트버스정류장(03-210),말레이시아대사관 옆 버스정류장(한남시범아파트),"37.537982, 127.012279"
56,용산구,"서울역공항철도15번출구,국립극단버스정류장(03-345)",국립극단 앞 버스정류장 옆(서울역15번출구),"37.553190, 126.968871"
57,용산구,한남2치안센터옆 공원입구,HID유족동지회 건물 옆 나무계단 앞,"37.538925, 127.001550"
58,용산구,한남오거리(순천향대학방면) 버스정류장(03-166),한강빌딩 옆 버스정류장(한남5거리),"37.533011, 127.008230"
59,용산구,한강중학교(반포한강공원방면) 버스정류장(03-156),한강중학교 육교 옆 버스정류장(한강중학교 앞),"37.524836, 126.992247"
60,용산구,한강중학교건너편(용산구청방면) 버스정류장(03-155),한강중학교건너편 육교 아래 버스정류장 옆,"37.525610, 126.992173"
61,용산구,"용산구청,크라운 호텔(한강중학교앞방면) 버스정류장(03-154)","버스정류장(용산구청,크라운 호텔) 옆","37.529870, 126.991074"
62,용산구,"용산구청,크라운 호텔(국군재정관리단방면) 버스정류장(03-153)","버스정류장(용산구청,크라운 호텔) 뒤","37.530321, 126.991296"
63,용산구,"국군재정관리단앞(이태원동남산대림아파트,용산동아파트방면) 버스정류장(03-152)",버스정류장(국군재정관리단) 옆,"37.537233, 126.986933"
64,용산구,"해방촌(용산구청,크라운호텔방면) 버스정류장(03-151)",버스정류장(해방촌) 옆,"37.537745, 126.986558"
65,용산구,용암초등학교입구(남산3호터널앞) 버스정류장(03-148),남산3호터널 옆 버스정류장(용암초등학교입구),"37.543740, 126.988627"
66,용산구,"방태산식당앞(이촌2동주민센터,문화시설보건소셔틀버스정류장)",동원베네스트 102동 앞 버스정류장(이촌2동주민센터),"37.526688, 126.955565"
67,용산구,남산도서관앞(두텁바위마을표지석앞) 버스정류장(03-168),두텁바위 마을 비석 앞 (횡단보도 옆),"37.552094, 126.981305"
68,용산구,남산도서관(백범광장방면) 버스정류장(03-167),남산도서관 입구 계단 앞 횡단보도 옆,"37.552293, 126.981213"
69,용산구,후암약수터(보성여중고입구방면) 버스정류장(03-170),버스정류장(후암약수터) 옆,"37.548480, 126.984138"
70,용산구,보성여중고입구(후암약수터방면) 버스정류장(03-171),버스정류장(보성여중고입구) 옆,"37.546516, 126.985618"
71,용산구,남산체육관(하얏트호텔방면) 버스정류장(03-174),버스정류장(남산체육관) 옆,"37.542531, 126.993067"
72,용산구,하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,이광희뷰티크 건물 건너편 버스정류장(하얏트호텔) 옆,"37.541732, 126.996006"
73,용산구,"하얏트 호텔(서울시중부기술교육원,블루스퀘어방면) 버스정류장(03-176)",남산공원 입구 건너편 버스정류장(하얏트호텔) 옆,"37.540858, 126.997364"
74,용산구,"보성여중고입구(용암초등학교,이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172)",버스정류장(보성여중고입구) 옆 횡단보도 뒤,"37.546308, 126.985554"
75,용산구,LG유플러스앞 횡단보도(도심),LG유플러스 본사 앞 횡단보도 옆,"37.524099, 126.963382"
76,용산구,한강로 2가 222-5(한강로 블루컷앞),허구한날 호프집 앞,"37.527372, 126.966437"
77,용산구,한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),잔디광장 옆 횡단보도(푸르지오써밋 방향),"37.527635, 126.966038"
78,용산구,용산우체국앞( 택시정류장앞 ),용산우체국 앞 택시정류장 옆,"37.530193, 126.969159"
79,용산구,신용산역 마을버스정류장(03-561),마을버스정류장(신용산역) 옆 횡단보도,"37.529969, 126.967433"
80,용산구,KT 용산지점 마을버스정류장(03-564) 횡단보도,이디야커피 앞 횡단보도 옆,"37.531466, 126.970336"
81,용산구,KT 앞 중앙버스정류장 횡단보도(피터팬부동산),피터팬부동산 앞,"37.532145, 126.970466"
82,용산구,숙대입구역 버스정류장(03-229),축산물백화점 앞 버스정류장(숙대입구역) 옆,"37.544318, 126.970866"
84,용산구,서울특별시 용산구 남영동 84-6,CU 앞 횡단보도 옆,"37.542347, 126.972929"
